target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,0.00071945629097963041,0.00071945629097963041,24.999999998029093,100,100,100,0,3.0013325160872772e-13,3.0013325160872772e-13,0
1,quadrature,0.00080938832735208432,0.00071945629097963041,49.999999996058186,100,109.99999999921162,90.000000000788376,-9.9999999992116297,-9.9999999992119459,3.1619151741324458e-13,0
2,quadrature,0.00080938832735208432,0.00080938832735208432,99.999999992116372,100,114.14213562317349,85.857864376826512,-12,-12.000000000000133,1.3322676295501878e-13,0
3,quadrature,0.00071945629097963041,0.00080938832735208432,49.999999996058186,100,110,90,-10.000000000000007,-9.9999999999996483,3.5882408155885059e-13,0
4,quadrature,0.00089932036372453812,0.00071945629097963041,24.999999998029093,100,100,100,0,1.8189894036892588e-14,1.8189894036892588e-14,0
5,quadrature,0.00089932036372453812,0.00080938832735208432,49.999999996058186,100,110,90,-10.000000000000007,-9.9999999999998224,1.8474111129762605e-13,0
6,quadrature,0.00080938832735208432,0.00089932036372453812,49.999999996058186,100,109.99999999921162,90.000000000788376,-9.9999999992116297,-9.9999999992114805,1.4921397450962104e-13,0
7,quadrature,0.00071945629097963041,0.00089932036372453812,24.999999998029093,100,100,100,0,-7.105662409141289e-14,7.105662409141289e-14,0
8,quadrature,0.00089932036372453812,0.00089932036372453812,24.999999998029093,100,100,100,0,-1.4097167878591755e-13,1.4097167878591755e-13,0
9,boundary_diagnostic,0.00071945629097963041,0.00071945629097963041,24.999999998029093,100,100,100,0,6.5710992208274478e-13,6.5710992208274478e-13,0
10,boundary_diagnostic,0.00089932036372453812,0.00071945629097963041,24.999999998029093,100,100,100,0,-7.7307049656793506e-14,7.7307049656793506e-14,0
11,boundary_diagnostic,0.00089932036372453812,0.00089932036372453812,24.999999998029093,100,100,100,0,-3.3196556617328975e-13,3.3196556617328975e-13,0
12,boundary_diagnostic,0.00071945629097963041,0.00089932036372453812,24.999999998029093,100,100,100,0,1.8189894036892588e-14,1.8189894036892588e-14,0
