target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,121.49297517271243,25.094334209552887,29.976926885267105,0,0,0,0,6.8264605201903599e-14,6.8264605201903599e-14,0
1,quadrature,121.49307440173557,25.094334209552887,59.953853770534209,0,17.307186806785808,-17.307186806785808,0,-7.9398536508930691e-14,7.9398536508930691e-14,0
2,quadrature,121.49307440173557,25.094442127996533,119.90770754106842,0,27.046972384354458,-27.046972384354458,0,3.3770277464456718e-14,3.3770277464456718e-14,0
3,quadrature,121.49297517271243,25.094442127996533,59.953853770534209,0,20.784609690707498,-20.784609690707498,0,-6.673308906982376e-14,6.673308906982376e-14,0
4,quadrature,121.49317363075872,25.094334209552887,59.953853770534209,0,17.307186806785808,-17.307186806785808,0,-1.345135363686945e-13,1.345135363686945e-13,0
5,quadrature,121.49317363075872,25.094442127996533,119.90770754106842,0,27.046972384354458,-27.046972384354458,0,1.4295851170319314e-13,1.4295851170319314e-13,0
6,quadrature,121.49327285978185,25.094334209552887,29.976926885267105,0,0,0,0,1.0998186393640024e-13,1.0998186393640024e-13,0
7,quadrature,121.49327285978185,25.094442127996533,59.953853770534209,0,20.784609690707498,-20.784609690707498,0,-1.0645385694737503e-14,1.0645385694737503e-14,0
8,quadrature,121.49307440173557,25.09455004644018,59.953853770534209,0,17.307186806785808,-17.307186806785808,0,-1.9274955946154264e-14,1.9274955946154264e-14,0
9,quadrature,121.49297517271243,25.09455004644018,29.976926885267105,0,0,0,0,-9.1019473602538132e-14,9.1019473602538132e-14,0
10,quadrature,121.49317363075872,25.09455004644018,59.953853770534209,0,17.307186806785808,-17.307186806785808,0,-1.1363593497465465e-13,1.1363593497465465e-13,0
11,quadrature,121.49327285978185,25.09455004644018,29.976926885267105,0,0,0,0,3.0339824534179377e-14,3.0339824534179377e-14,0
12,boundary_diagnostic,121.49297517271243,25.094334209552887,29.976926885267105,0,0,0,0,-3.4132302600951798e-13,3.4132302600951798e-13,0
13,boundary_diagnostic,121.49327285978185,25.094334209552887,29.976926885267105,0,0,0,0,1.5928407880444172e-13,1.5928407880444172e-13,0
14,boundary_diagnostic,121.49327285978185,25.09455004644018,29.976926885267105,0,0,0,0,-1.7445399107153141e-13,1.7445399107153141e-13,0
15,boundary_diagnostic,121.49297517271243,25.09455004644018,29.976926885267105,0,0,0,0,-9.8604429736082976e-14,9.8604429736082976e-14,0
