target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,0.00071945629097963041,0.00071945629097963041,24.999999998029093,100,100,100,0,4.456524039038684e-13,4.456524039038684e-13,0
1,quadrature,0.00080938832735208432,0.00071945629097963041,49.999999996058186,100,117.32050807432327,82.679491925676729,-12,-12.000000000000409,4.0856207306205761e-13,0
2,quadrature,0.00080938832735208432,0.00080938832735208432,99.999999992116372,100,124.49489742686623,75.505102573133769,-12,-12.000000000000247,2.4691360067663481e-13,0
3,quadrature,0.00071945629097963041,0.00080938832735208432,49.999999996058186,100,117.32050807568878,82.679491924311222,-12,-11.999999999999813,1.865174681370263e-13,0
4,quadrature,0.00089932036372453812,0.00071945629097963041,24.999999998029093,100,100,100,0,-1.7280399335047958e-13,1.7280399335047958e-13,0
5,quadrature,0.00089932036372453812,0.00080938832735208432,49.999999996058186,100,117.32050807568878,82.679491924311222,-12,-12.00000000000013,1.2967404927621828e-13,0
6,quadrature,0.00080938832735208432,0.00089932036372453812,49.999999996058186,100,117.32050807432327,82.679491925676729,-12,-11.999999999999561,4.3876013933186186e-13,0
7,quadrature,0.00071945629097963041,0.00089932036372453812,24.999999998029093,100,100,100,0,2.6162121531513585e-14,2.6162121531513585e-14,0
8,quadrature,0.00089932036372453812,0.00089932036372453812,24.999999998029093,100,100,100,0,-8.1854523166016648e-14,8.1854523166016648e-14,0
9,boundary_diagnostic,0.00071945629097963041,0.00071945629097963041,24.999999998029093,100,100,100,0,1.8872015063276059e-13,1.8872015063276059e-13,0
10,boundary_diagnostic,0.00089932036372453812,0.00071945629097963041,24.999999998029093,100,100,100,0,2.6375346353494253e-13,2.6375346353494253e-13,0
11,boundary_diagnostic,0.00089932036372453812,0.00089932036372453812,24.999999998029093,100,100,100,0,-2.6375346353494253e-13,2.6375346353494253e-13,0
12,boundary_diagnostic,0.00071945629097963041,0.00089932036372453812,24.999999998029093,100,100,100,0,-1.2278178474902496e-13,1.2278178474902496e-13,0
