target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,121.49297517271243,25.094334209552887,29.976926885267105,0,0,0,0,-2.5788850854052468e-13,2.5788850854052468e-13,0
1,quadrature,121.49307440173557,25.094334209552887,59.953853770534209,0,5.7690622689286029,-5.7690622689286029,0,-1.5810050780764218e-13,1.5810050780764218e-13,0
2,quadrature,121.49307440173557,25.094442127996533,119.90770754106842,0,9.0156574614514859,-9.0156574614514859,0,1.3531515292374609e-13,1.3531515292374609e-13,0
3,quadrature,121.49297517271243,25.094442127996533,59.953853770534209,0,6.9282032302358321,-6.9282032302358321,0,3.9902422554089758e-14,3.9902422554089758e-14,0
4,quadrature,121.49317363075872,25.094334209552887,59.953853770534209,0,5.7690622689286029,-5.7690622689286029,0,-1.7318585266726458e-13,1.7318585266726458e-13,0
5,quadrature,121.49317363075872,25.094442127996533,119.90770754106842,0,9.0156574614514859,-9.0156574614514859,0,-2.0840647690585735e-13,2.0840647690585735e-13,0
6,quadrature,121.49327285978185,25.094334209552887,29.976926885267105,0,0,0,0,1.5738783977105551e-13,1.5738783977105551e-13,0
7,quadrature,121.49327285978185,25.094442127996533,59.953853770534209,0,6.9282032302358321,-6.9282032302358321,0,5.5146337232131125e-14,5.5146337232131125e-14,0
8,quadrature,121.49307440173557,25.09455004644018,59.953853770534209,0,5.7690622689286029,-5.7690622689286029,0,8.6917424469909617e-14,8.6917424469909617e-14,0
9,quadrature,121.49297517271243,25.09455004644018,29.976926885267105,0,0,0,0,-2.1427501077264185e-13,2.1427501077264185e-13,0
10,quadrature,121.49317363075872,25.09455004644018,59.953853770534209,0,5.7690622689286029,-5.7690622689286029,0,5.869857392642636e-14,5.869857392642636e-14,0
11,quadrature,121.49327285978185,25.09455004644018,29.976926885267105,0,0,0,0,-9.8604429736082976e-14,9.8604429736082976e-14,0
12,boundary_diagnostic,121.49297517271243,25.094334209552887,29.976926885267105,0,0,0,0,3.7924780667724221e-14,3.7924780667724221e-14,0
13,boundary_diagnostic,121.49327285978185,25.094334209552887,29.976926885267105,0,0,0,0,-1.4032168847057961e-13,1.4032168847057961e-13,0
14,boundary_diagnostic,121.49327285978185,25.09455004644018,29.976926885267105,0,0,0,0,2.275486840063453e-13,2.275486840063453e-13,0
15,boundary_diagnostic,121.49297517271243,25.09455004644018,29.976926885267105,0,0,0,0,2.6547346467406955e-14,2.6547346467406955e-14,0
