target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,0.00071945629097963041,0.00071945629097963041,24.999999998029061,112.8,112.8,112.8,0,-7.73070496567936e-13,7.73070496567936e-13,0
1,quadrature,0.00080938832735208421,0.00071945629097963041,49.999999996058122,114.00000000000001,114.00000000000001,114.00000000000001,0,-2.6830093704416604e-13,2.6830093704416604e-13,0
2,quadrature,0.00080938832735208421,0.00080938832735208421,99.999999992116244,114.39999999999999,123.19999999921161,104.00000000000001,1.6000000000000085,1.5999999999992673,7.4118489123975451e-13,0
3,quadrature,0.00071945629097963041,0.00080938832735208421,49.999999996058122,113.19999999999999,113.19999999999999,113.19999999999999,0,2.1373125493348819e-13,2.1373125493348819e-13,0
4,quadrature,0.00089932036372453801,0.00071945629097963041,49.999999996058122,115.2,115.2,115.2,0,6.662048691011919e-13,6.662048691011919e-13,0
5,quadrature,0.00089932036372453801,0.00080938832735208421,99.999999992116244,115.59999999999999,125.2,105.2,0.40000000000000568,0.39999999999962982,3.7586600498684675e-13,0
6,quadrature,0.00098925240009699192,0.00071945629097963041,49.999999996058122,116.40000000000001,116.40000000000001,116.40000000000001,0,-9.0949470184463057e-14,9.0949470184463057e-14,0
7,quadrature,0.00098925240009699192,0.00080938832735208421,99.999999992116244,116.8,126.40000000000001,108.00000000078838,-0.79999999999999716,-0.79999999999934035,6.5680794136824261e-13,0
8,quadrature,0.0010791844364694456,0.00071945629097963041,24.999999998029061,117.60000000000001,117.60000000000001,117.60000000000001,0,1.5688783606819877e-13,1.5688783606819877e-13,0
9,quadrature,0.0010791844364694456,0.00080938832735208421,49.999999996058122,118,118,118,0,-1.2505552150363671e-13,1.2505552150363671e-13,0
10,quadrature,0.00080938832735208421,0.00089932036372453801,99.999999992116244,114.8,123.59999999921162,103.60000000078837,1.2000000000000028,1.2000000000002773,2.744471316873387e-13,0
11,quadrature,0.00071945629097963041,0.00089932036372453801,49.999999996058122,113.59999999999999,113.59999999999999,113.59999999999999,0,-1.0004441720290937e-13,1.0004441720290937e-13,0
12,quadrature,0.00089932036372453801,0.00089932036372453801,99.999999992116244,116,133.59999999842324,98.400000001576757,0,-6.601652558467549e-13,6.601652558467549e-13,0
13,quadrature,0.00098925240009699192,0.00089932036372453801,99.999999992116244,117.2,128.39999999921162,108.40000000078838,-1.2000000000000028,-1.1999999999997286,2.7422508708241367e-13,0
14,quadrature,0.0010791844364694456,0.00089932036372453801,49.999999996058122,118.40000000000001,118.40000000000001,118.40000000000001,0,7.3896444524876229e-14,7.3896444524876229e-14,0
15,quadrature,0.00080938832735208421,0.00098925240009699192,99.999999992116244,115.2,123.99999999921164,105.59999999999999,0.79999999999999716,0.79999999999983573,1.6142642778049776e-13,0
16,quadrature,0.00071945629097963041,0.00098925240009699192,49.999999996058122,114.00000000000001,114.00000000000001,114.00000000000001,0,-5.4569682110677837e-14,5.4569682110677837e-14,0
17,quadrature,0.00089932036372453801,0.00098925240009699192,99.999999992116244,116.40000000000001,126.8,106.8,-0.40000000000000568,-0.39999999999960667,3.9901415505028126e-13,0
18,quadrature,0.00098925240009699192,0.00098925240009699192,99.999999992116244,117.60000000000002,128,108.80000000078839,-1.6000000000000227,-1.5999999999996977,3.2507330161024584e-13,0
19,quadrature,0.0010791844364694456,0.00098925240009699192,49.999999996058122,118.80000000000001,118.80000000000001,118.80000000000001,0,7.1622707770264652e-14,7.1622707770264652e-14,0
20,quadrature,0.00080938832735208421,0.0010791844364694456,49.999999996058122,115.59999999999999,115.59999999999999,115.59999999999999,0,2.2737367546115766e-13,2.2737367546115766e-13,0
21,quadrature,0.00071945629097963041,0.0010791844364694456,24.999999998029061,114.39999999999999,114.39999999999999,114.39999999999999,0,-1.5461409931358719e-13,1.5461409931358719e-13,0
22,quadrature,0.00089932036372453801,0.0010791844364694456,49.999999996058122,116.8,116.8,116.8,0,-9.7770680448297788e-14,9.7770680448297788e-14,0
23,quadrature,0.00098925240009699192,0.0010791844364694456,49.999999996058122,118,118,118,0,4.6611603469537317e-14,4.6611603469537317e-14,0
24,quadrature,0.0010791844364694456,0.0010791844364694456,24.999999998029061,119.2,119.2,119.2,0,8.6401996675239903e-14,8.6401996675239903e-14,0
25,boundary_diagnostic,0.00071945629097963041,0.00071945629097963041,24.999999998029061,112.8,112.8,112.8,0,-1.0913936422135567e-13,1.0913936422135567e-13,0
26,boundary_diagnostic,0.00080938832735208421,0.00071945629097963041,24.999999998029061,114.00000000000001,114.00000000000001,114.00000000000001,0,1.1823431123980198e-13,1.1823431123980198e-13,0
27,boundary_diagnostic,0.00089932036372453801,0.00071945629097963041,24.999999998029061,115.2,115.2,115.2,0,3.365130396825133e-13,3.365130396825133e-13,0
28,boundary_diagnostic,0.00098925240009699192,0.00071945629097963041,24.999999998029061,116.40000000000001,116.40000000000001,116.40000000000001,0,5.4569682110677837e-14,5.4569682110677837e-14,0
29,boundary_diagnostic,0.0010791844364694456,0.00071945629097963041,24.999999998029061,117.60000000000001,117.60000000000001,117.60000000000001,0,-6.3664629129124145e-14,6.3664629129124145e-14,0
