sample,lon,lat,independent_distance_m,returned_distance_m,plain_ground_m,plain_base_m,plain_plane_m,plain_difference_m,decoded_difference_m,plain_height_m,he_height_m,abs_error_m,near_zero
0,0.00071945629097963041,0.00071945629097963041,0,0,100,100,100,0,-8.1712414612411521e-14,0,0,0,1
1,0.00080938832735917424,0.00071945629097963041,10.000000000000002,10.000000000000002,100,100,102.12556561670021,2.1255656167002144,2.1255656167002694,2.1255656167002144,2.1255656167002694,5.5067062021407764e-14,0
2,0.00089932036373871808,0.00071945629097963041,20.000000000000004,20.000000000000004,100,100,104.25113123340044,4.251131233400443,4.2511312334004945,4.251131233400443,4.2511312334004945,5.1514348342607263e-14,0
3,0.0009892524001182618,0.00071945629097963041,29.999999999999993,29.999999999999993,100,100,106.37669685010066,6.3766968501006573,6.3766968501006023,6.3766968501006573,6.3766968501006023,5.5067062021407764e-14,0
4,0.0010791844364978057,0.00071945629097963041,40.000000000000007,40.000000000000007,100,100,108.50226246680089,8.5022624668008859,8.5022624668012163,8.5022624668008859,8.5022624668012163,3.3040237212844659e-13,0
5,0.0011691164728773497,0.00071945629097963041,50.000000000000021,50.000000000000021,100,100,110.62782808350111,10.627828083501115,10.627828083501038,10.627828083501115,10.627828083501038,7.638334409421077e-14,0
6,0.0012590485092568934,0.00071945629097963041,60.000000000000014,60.000000000000007,100,100,112.75339370020133,12.753393700201329,12.753393700201272,12.753393700201329,12.753393700201272,5.6843418860808015e-14,0
7,0.0013489805456364371,0.00071945629097963041,70,70,100,100,114.87895931690154,14.878959316901543,14.878959316901677,14.878959316901543,14.878959316901677,1.3322676295501878e-13,0
8,0.0014389125820159811,0.00071945629097963041,80.000000000000014,80.000000000000014,100,100,117.00452493360177,17.004524933601772,17.004524933601704,17.004524933601772,17.004524933601704,6.7501559897209518e-14,0
9,0.0015288446183955248,0.00071945629097963041,90,90,100,100,119.13009055030199,19.130090550301986,19.130090550302107,19.130090550301986,19.130090550302107,1.2079226507921703e-13,0
10,0.0016187766547750687,0.00071945629097963041,100.00000000000001,100.00000000000001,100,100,121.25565616700221,21.255656167002215,21.255656167001966,21.255656167002215,21.255656167001966,2.4868995751603507e-13,0
11,0.0017087086911546125,0.00071945629097963041,110,110,100,100,123.38122178370243,23.381221783702429,23.381221783702102,23.381221783702429,23.381221783702102,3.2684965844964609e-13,0
12,0.0017986407275341564,0.00071945629097963041,120.00000000000001,120.00000000000001,100,100,125.50678740040266,25.506787400402658,25.506787400402377,25.506787400402658,25.506787400402377,2.8066438062523957e-13,0
13,0.0018885727639137001,0.00071945629097963041,130,130,100,100,127.63235301710287,27.632353017102872,27.632353017102794,27.632353017102872,27.632353017102794,7.815970093361102e-14,0
14,0.0019785048002932439,0.00071945629097963041,140,140,100,100,129.75791863380309,29.757918633803087,29.757918633802859,29.757918633803087,29.757918633802859,2.2737367544323206e-13,0
15,0.0020684368366727882,0.00071945629097963041,150.00000000000006,150.00000000000006,100,100,131.88348425050333,31.883484250503329,31.883484250503379,31.883484250503329,31.883484250503379,4.9737991503207013e-14,0
16,0.0021583688730523317,0.00071945629097963041,160.00000000000003,160.00000000000003,100,100,134.00904986720354,34.009049867203544,34.009049867203615,34.009049867203544,34.009049867203615,7.1054273576010019e-14,0
