event,operation,output_cipher,input_a,input_b
264,encode,0,0,0
265,encode,0,0,0
266,encrypt,161,0,0
267,mulPlain,162,161,0
268,encode,0,0,0
269,encode,0,0,0
270,encrypt,163,0,0
271,mulPlain,164,163,0
272,add,165,162,164
273,add,166,158,160
274,add,167,166,165
275,sub,168,167,121
276,encode,0,0,0
277,subPlain,169,168,0
278,mulPlain,170,169,0
279,encode,0,0,0
280,subPlain,171,168,0
281,mulPlain,172,171,0
282,encode,0,0,0
283,encode,0,0,0
284,encrypt,173,0,0
285,mulPlain,174,173,0
286,encode,0,0,0
287,encode,0,0,0
288,encrypt,175,0,0
289,mulPlain,176,175,0
290,encode,0,0,0
291,encode,0,0,0
292,encrypt,177,0,0
293,mulPlain,178,177,0
294,encode,0,0,0
295,encode,0,0,0
296,encrypt,179,0,0
297,mulPlain,180,179,0
298,add,181,178,180
299,add,182,174,176
300,add,183,182,181
301,sub,184,183,121
302,encode,0,0,0
303,subPlain,185,184,0
304,mulPlain,186,185,0
305,encode,0,0,0
306,subPlain,187,184,0
307,mulPlain,188,187,0
308,encode,0,0,0
309,encode,0,0,0
310,encrypt,189,0,0
311,mulPlain,190,189,0
312,encode,0,0,0
313,encode,0,0,0
314,encrypt,191,0,0
315,mulPlain,192,191,0
316,encode,0,0,0
317,encode,0,0,0
318,encrypt,193,0,0
319,mulPlain,194,193,0
320,encode,0,0,0
321,encode,0,0,0
322,encrypt,195,0,0
323,mulPlain,196,195,0
324,add,197,194,196
325,add,198,190,192
326,add,199,198,197
327,sub,200,199,121
328,encode,0,0,0
329,subPlain,201,200,0
330,mulPlain,202,201,0
331,encode,0,0,0
332,subPlain,203,200,0
333,mulPlain,204,203,0
334,encode,0,0,0
335,encode,0,0,0
336,encrypt,205,0,0
337,mulPlain,206,205,0
338,encode,0,0,0
339,encode,0,0,0
340,encrypt,207,0,0
341,mulPlain,208,207,0
342,encode,0,0,0
343,encode,0,0,0
344,encrypt,209,0,0
345,mulPlain,210,209,0
346,encode,0,0,0
347,encode,0,0,0
348,encrypt,211,0,0
349,mulPlain,212,211,0
350,add,213,210,212
351,add,214,206,208
352,add,215,214,213
353,sub,216,215,121
354,encode,0,0,0
355,subPlain,217,216,0
356,mulPlain,218,217,0
357,encode,0,0,0
358,subPlain,219,216,0
359,mulPlain,220,219,0
360,decrypt,0,14,0
361,decrypt,0,28,0
362,decrypt,0,30,0
363,decrypt,0,44,0
364,decrypt,0,46,0
365,decrypt,0,60,0
366,decrypt,0,62,0
367,decrypt,0,76,0
368,decrypt,0,78,0
369,decrypt,0,92,0
370,decrypt,0,94,0
371,decrypt,0,108,0
372,decrypt,0,110,0
373,decrypt,0,124,0
