target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,121.49297517271243,25.094334209552887,29.976926885267105,0,0,0,0,4.9302214868041488e-14,4.9302214868041488e-14,0
1,quadrature,121.49307440173557,25.094334209552887,59.953853770534209,0,9.9923089618129257,-9.9923089618129257,0,-3.5080205536119402e-14,3.5080205536119402e-14,0
2,quadrature,121.49307440173557,25.094442127996533,119.90770754106842,0,15.61557678687142,-15.61557678687142,0,-9.2870183609257685e-14,9.2870183609257685e-14,0
3,quadrature,121.49297517271243,25.094442127996533,59.953853770534209,0,11.999999999931278,-11.999999999931278,0,-1.4097146171610601e-13,1.4097146171610601e-13,0
4,quadrature,121.49317363075872,25.094334209552887,59.953853770534209,0,9.9923089618129257,-9.9923089618129257,0,-5.4714946464327114e-14,5.4714946464327114e-14,0
5,quadrature,121.49317363075872,25.094442127996533,119.90770754106842,0,15.61557678687142,-15.61557678687142,0,-4.2954795118947903e-14,4.2954795118947903e-14,0
6,quadrature,121.49327285978185,25.094334209552887,29.976926885267105,0,0,0,0,-3.0339824534179377e-14,3.0339824534179377e-14,0
7,quadrature,121.49327285978185,25.094442127996533,59.953853770534209,0,11.999999999931278,-11.999999999931278,0,3.5208034453489865e-14,3.5208034453489865e-14,0
8,quadrature,121.49307440173557,25.09455004644018,59.953853770534209,0,9.9923089618129257,-9.9923089618129257,0,-2.8268948703783982e-14,2.8268948703783982e-14,0
9,quadrature,121.49297517271243,25.09455004644018,29.976926885267105,0,0,0,0,-4.5509736801269066e-14,4.5509736801269066e-14,0
10,quadrature,121.49317363075872,25.09455004644018,59.953853770534209,0,9.9923089618129257,-9.9923089618129257,0,-7.0690318327761198e-14,7.0690318327761198e-14,0
11,quadrature,121.49327285978185,25.09455004644018,29.976926885267105,0,0,0,0,1.4032168847057961e-13,1.4032168847057961e-13,0
12,boundary_diagnostic,121.49297517271243,25.094334209552887,29.976926885267105,0,0,0,0,3.7924780667724221e-14,3.7924780667724221e-14,0
13,boundary_diagnostic,121.49327285978185,25.094334209552887,29.976926885267105,0,0,0,0,-9.8604429736082976e-14,9.8604429736082976e-14,0
14,boundary_diagnostic,121.49327285978185,25.09455004644018,29.976926885267105,0,0,0,0,1.7066151300475899e-13,1.7066151300475899e-13,0
15,boundary_diagnostic,121.49297517271243,25.09455004644018,29.976926885267105,0,0,0,0,-3.7924780667724221e-14,3.7924780667724221e-14,0
