target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,0.00071945629097963041,0.00071945629097963041,24.999999998029093,100,100,100,0,2.9558577809950456e-13,2.9558577809950456e-13,0
1,quadrature,0.00080938832735208432,0.00071945629097963041,49.999999996058186,100,109.99999999921162,90.000000000788376,9.9999999992116297,9.9999999992114361,1.936228954946273e-13,0
2,quadrature,0.00080938832735208432,0.00080938832735208432,99.999999992116372,100,114.14213562317349,85.857864376826512,12,11.999999999999661,3.3928415632544784e-13,0
3,quadrature,0.00071945629097963041,0.00080938832735208432,49.999999996058186,100,110,90,10.000000000000007,10.000000000000426,4.1922021409845911e-13,0
4,quadrature,0.00089932036372453812,0.00071945629097963041,24.999999998029093,100,100,100,0,-1.637090463320333e-13,1.637090463320333e-13,0
5,quadrature,0.00089932036372453812,0.00080938832735208432,49.999999996058186,100,110,90,10.000000000000007,9.9999999999999218,8.5265128291212022e-14,0
6,quadrature,0.00080938832735208432,0.00089932036372453812,49.999999996058186,100,109.99999999921162,90.000000000788376,9.9999999992116297,9.9999999992116422,1.2434497875801753e-14,0
7,quadrature,0.00071945629097963041,0.00089932036372453812,24.999999998029093,100,100,100,0,-3.5660053555912881e-13,3.5660053555912881e-13,0
8,quadrature,0.00089932036372453812,0.00089932036372453812,24.999999998029093,100,100,100,0,3.1832314564562028e-14,3.1832314564562028e-14,0
9,boundary_diagnostic,0.00071945629097963041,0.00071945629097963041,24.999999998029093,100,100,100,0,2.9444890972219876e-13,2.9444890972219876e-13,0
10,boundary_diagnostic,0.00089932036372453812,0.00071945629097963041,24.999999998029093,100,100,100,0,-1.8189894036892588e-14,1.8189894036892588e-14,0
11,boundary_diagnostic,0.00089932036372453812,0.00089932036372453812,24.999999998029093,100,100,100,0,-5.8662408268978602e-13,5.8662408268978602e-13,0
12,boundary_diagnostic,0.00071945629097963041,0.00089932036372453812,24.999999998029093,100,100,100,0,1.114131009759671e-13,1.114131009759671e-13,0
