target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,121.42650864575661,25.034095078595541,180377.00431304751,7.4728672157799849,7.4728672157799849,7.4728672157799849,0,2.769142584136213e-12,2.769142584136213e-12,0
1,quadrature,121.43493849094099,25.034095078595541,360754.00862609502,17.805599479217754,17.805599479217754,17.805599479217754,0,1.4424645704305199e-14,1.4424645704305199e-14,0
2,quadrature,121.43493849094099,25.041735112929661,721508.01725219004,7.4620189934100045,867.33983024846987,-831.14643828450824,7.2979810065899953,7.2979810065902155,2.2026824808563106e-13,0
3,quadrature,121.42650864575661,25.041735112929661,360754.00862609502,18.151907938533814,18.151907938533814,18.151907938533814,-1.1102230246251565e-16,1.1033402588607904e-12,1.1034512811632529e-12,0
4,quadrature,121.44336833612537,25.034095078595541,360754.00862609502,7.6450806624541343,7.6450806624541343,7.6450806624541343,0,5.9765455144207674e-12,5.9765455144207674e-12,0
5,quadrature,121.44336833612537,25.041735112929661,721508.01725219004,5.7144282191261704,857.17931143170631,-841.88915010679807,9.0455717808738285,9.0455717808778964,4.0678571622265736e-12,0
6,quadrature,121.45179818130975,25.034095078595541,360754.00862609502,15.290689095102723,15.290689095102723,15.290689095102723,0,3.6574376284534565e-12,3.6574376284534565e-12,0
7,quadrature,121.45179818130975,25.041735112929661,721508.01725219004,16.391592001805414,864.82491986435491,-834.24354167414947,-1.631592001805414,-1.631592001804099,1.3149481503660354e-12,0
8,quadrature,121.46022802649414,25.034095078595541,360754.00862609502,15.854017150383068,15.854017150383068,15.854017150383068,0,3.9747870731228867e-12,3.9747870731228867e-12,0
9,quadrature,121.46022802649414,25.041735112929661,721508.01725219004,12.42216352240828,865.38824791963521,-833.68021361886906,2.3378364775917202,2.3378364775888523,2.8679281172117044e-12,0
10,quadrature,121.46865787167852,25.034095078595541,360754.00862609502,4.3329294181022027,4.3329294181022036,4.3329294181022018,4.4408920985006262e-16,1.0906355667451056e-12,1.0901914775352555e-12,0
11,quadrature,121.46865787167852,25.041735112929661,721508.01725219004,12.731430049267303,853.86716018735433,-845.20130135114994,2.0285699507326971,2.0285699507314598,1.2372325386422744e-12,0
12,quadrature,121.4770877168629,25.034095078595541,360754.00862609502,6.5119354595697256,6.5119354595697256,6.5119354595697256,0,-1.1461323415914671e-13,1.1461323415914671e-13,0
13,quadrature,121.4770877168629,25.041735112929661,721508.01725219004,7.9710426605029419,856.0461662288219,-843.02229530968248,6.7889573394970579,6.7889573394969451,1.127986593019159e-13,0
14,quadrature,121.48551756204729,25.034095078595541,360754.00862609502,6.9443994318489937,6.9443994318489937,6.9443994318489937,0,-1.3733410211502948e-12,1.3733410211502948e-12,0
15,quadrature,121.48551756204729,25.041735112929661,721508.01725219004,9.0764621418655551,856.47863020110117,-842.58983133740321,5.6835378581344447,5.6835378581350255,5.808686864838819e-13,0
16,quadrature,121.49394740723167,25.034095078595541,360754.00862609502,9.3440205238675436,9.3440205238675436,9.3440205238675436,0,3.296630154836863e-12,3.296630154836863e-12,0
17,quadrature,121.49394740723167,25.041735112929661,721508.01725219004,0,858.87825129311966,-840.19021024538461,14.76,14.760000000000495,4.9560355819266988e-13,0
18,quadrature,121.50237725241605,25.034095078595541,360754.00862609502,11.093569063416007,11.093569063416007,11.093569063416007,0,9.3182472646825797e-13,9.3182472646825797e-13,0
19,quadrature,121.50237725241605,25.041735112929661,721508.01725219004,3.4759982312688393,860.62779983266819,-838.44066170583619,11.28400176873116,11.284001768731311,1.5099033134902129e-13,0
20,quadrature,121.51080709760043,25.034095078595541,360754.00862609502,10.345280147292614,10.345280147292616,10.345280147292613,8.8817841970012523e-16,1.5258015307032036e-12,1.5249133522835035e-12,0
21,quadrature,121.51080709760043,25.041735112929661,721508.01725219004,8.6240407364646803,859.87951091654475,-839.18895062195952,6.1359592635353195,6.1359592635348541,4.6540549192286562e-13,0
22,quadrature,121.51923694278481,25.034095078595541,360754.00862609502,12.466673544494389,12.466673544494389,12.466673544494389,0,3.1231346214205347e-12,3.1231346214205347e-12,0
23,quadrature,121.51923694278481,25.041735112929661,721508.01725219004,6.7894503166017586,862.00090431374656,-837.06755722475782,7.9705496833982412,7.9705496833961682,2.0730084315800923e-12,0
24,quadrature,121.5276667879692,25.034095078595541,360754.00862609502,19.115119182835592,19.115119182835592,19.115119182835592,0,2.8156560718781209e-12,2.8156560718781209e-12,0
25,quadrature,121.5276667879692,25.041735112929661,721508.01725219004,10.047428748956797,864.24009080813562,-830.41911158641653,4.7125712510432027,4.7125712510421538,1.0489387136658479e-12,0
26,quadrature,121.53609663315358,25.034095078595541,180377.00431304751,16.88203147493779,16.88203147493779,16.88203147493779,0,-1.9398547095168749e-12,1.9398547095168749e-12,0
27,quadrature,121.53609663315358,25.041735112929661,360754.00862609502,14.941744585093634,14.941744585093634,14.941744585093634,-5.5511151231257827e-17,2.5251890525898422e-12,2.5252445637410735e-12,0
28,quadrature,121.43493849094099,25.049375147263778,721508.01725219004,0.85875870238298546,943.15747006244953,-755.43922238363461,13.901241297617014,13.901241297616412,6.0218496855668491e-13,0
29,quadrature,121.42650864575661,25.049375147263778,360754.00862609502,93.859123839407459,93.859123839407459,93.859123839407459,-2.2204460492503131e-16,-5.6406860861865713e-12,5.6404640415816463e-12,0
30,quadrature,121.44336833612537,25.049375147263778,721508.01725219004,4.5161576162323787,1706.7135422009585,-1604.7375686066766,10.243842383767621,10.243842383767081,5.4001247917767614e-13,0
31,quadrature,121.45179818130975,25.049375147263778,721508.01725219004,13.861533870699681,1714.359150633607,-1683.7777724434015,0.89846612930031888,0.89846612929909275,1.2261303083960229e-12,0
32,quadrature,121.46022802649414,25.049375147263778,721508.01725219004,9.6518437852775456,1714.9224786888874,-1683.2144443881214,5.1081562147224542,5.1081562147208288,1.6253665080512292e-12,0
33,quadrature,121.46865787167852,25.049375147263778,721508.01725219004,5.9629689891572273,1703.4013909566065,-1694.7355321204022,8.7970310108427725,8.7970310108445045,1.7319479184152442e-12,0
34,quadrature,121.4770877168629,25.049375147263778,721508.01725219004,9.4072133961777933,1705.5803969980741,-1692.5565260789347,5.3527866038222065,5.3527866038213414,8.6508578078792198e-13,0
35,quadrature,121.48551756204729,25.049375147263778,721508.01725219004,2.6050273243476401,1706.0128609703534,-1692.1240621066554,12.15497267565236,12.154972675650686,1.6733281427150359e-12,0
36,quadrature,121.49394740723167,25.049375147263778,721508.01725219004,9.9972978862236186,1708.412482062372,-1689.7244410146368,4.7627021137763812,4.7627021137777215,1.340261235327489e-12,0
37,quadrature,121.50237725241605,25.049375147263778,721508.01725219004,0.023303491139039741,1710.1620306019204,-1687.9748924750884,14.736696508860961,14.736696508863149,2.1884716261411086e-12,0
38,quadrature,121.51080709760043,25.049375147263778,721508.01725219004,6.3587432400894102,1709.413741685797,-1688.7231813912117,8.4012567599105896,8.401256759909689,9.0061291757592699e-13,0
39,quadrature,121.51923694278481,25.049375147263778,721508.01725219004,7.9791177857966398,1711.5351350829987,-1683.606656841386,6.78088221420336,6.7808822142009433,2.4167334800040408e-12,0
40,quadrature,121.5276667879692,25.049375147263778,721508.01725219004,11.777530412010558,864.28838182774007,-834.30831061834397,2.9824695879894421,2.9824695879895877,1.4566126083082054e-13,0
41,quadrature,121.53609663315358,25.049375147263778,360754.00862609502,14.990035604698079,14.990035604698079,14.990035604698079,-1.1102230246251565e-16,5.5414993696007793e-13,5.5426095926254045e-13,0
42,quadrature,121.43493849094099,25.057015181597897,721508.01725219004,10.855533861631292,999.97300229253619,-698.62369015354784,3.9044661383687078,3.9044661383673236,1.3842260671026452e-12,0
43,quadrature,121.42650864575661,25.057015181597897,360754.00862609502,150.67465606949418,150.67465606949418,150.67465606949418,-4.4408920985006262e-16,8.6435301218543566e-12,8.6439742110642067e-12,0
44,quadrature,121.44336833612537,25.057015181597897,721508.01725219004,6.4550791245770425,1849.2713485155782,-1547.9220363765899,8.3049208754229582,8.3049208754223791,5.7909232964448165e-13,0
45,quadrature,121.45179818130975,25.057015181597897,721508.01725219004,6.5179257212058674,2563.8933814028592,-2397.2203825996321,8.2420742787941315,8.2420742787917067,2.4247270857813419e-12,0
46,quadrature,121.46022802649414,25.057015181597897,721508.01725219004,4.7943346341654927,2564.4567094581394,-2532.7486751573733,9.9656653658345071,9.9656653658335959,9.1127105861232849e-13,0
