target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,121.49297517271243,25.094334209552887,29.976926885267105,0,0,0,0,-1.8772766430523489e-13,1.8772766430523489e-13,0
1,quadrature,121.49307440173557,25.094334209552887,59.953853770534209,0,5.7690622689286029,-5.7690622689286029,0,-4.4735052315848835e-15,4.4735052315848835e-15,0
2,quadrature,121.49307440173557,25.094442127996533,119.90770754106842,0,9.0156574614514859,-9.0156574614514859,0,-9.8507539101058367e-14,9.8507539101058367e-14,0
3,quadrature,121.49297517271243,25.094442127996533,59.953853770534209,0,6.9282032302358321,-6.9282032302358321,0,-1.5386405871588004e-13,1.5386405871588004e-13,0
4,quadrature,121.49317363075872,25.094334209552887,59.953853770534209,0,5.7690622689286029,-5.7690622689286029,0,-4.4636068550325126e-14,4.4636068550325126e-14,0
5,quadrature,121.49317363075872,25.094442127996533,119.90770754106842,0,9.0156574614514859,-9.0156574614514859,0,-8.1091113127983575e-14,8.1091113127983575e-14,0
6,quadrature,121.49327285978185,25.094334209552887,29.976926885267105,0,0,0,0,-2.9107269162478341e-13,2.9107269162478341e-13,0
7,quadrature,121.49327285978185,25.094442127996533,59.953853770534209,0,6.9282032302358321,-6.9282032302358321,0,7.5697202673755782e-14,7.5697202673755782e-14,0
8,quadrature,121.49307440173557,25.09455004644018,59.953853770534209,0,5.7690622689286029,-5.7690622689286029,0,2.6171661242790231e-14,2.6171661242790231e-14,0
9,quadrature,121.49297517271243,25.09455004644018,29.976926885267105,0,0,0,0,-3.4701174310967663e-13,3.4701174310967663e-13,0
10,quadrature,121.49317363075872,25.09455004644018,59.953853770534209,0,5.7690622689286029,-5.7690622689286029,0,1.4385069361242958e-14,1.4385069361242958e-14,0
11,quadrature,121.49327285978185,25.09455004644018,29.976926885267105,0,0,0,0,1.8962390333862111e-14,1.8962390333862111e-14,0
12,boundary_diagnostic,121.49297517271243,25.094334209552887,29.976926885267105,0,0,0,0,-6.6368366168517378e-14,6.6368366168517378e-14,0
13,boundary_diagnostic,121.49327285978185,25.094334209552887,29.976926885267105,0,0,0,0,1.7066151300475899e-13,1.7066151300475899e-13,0
14,boundary_diagnostic,121.49327285978185,25.09455004644018,29.976926885267105,0,0,0,0,-8.7226995535765703e-14,8.7226995535765703e-14,0
15,boundary_diagnostic,121.49297517271243,25.09455004644018,29.976926885267105,0,0,0,0,6.447212713513117e-14,6.447212713513117e-14,0
