target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,0.00071945629097963041,0.00071945629097963041,24.999999998029093,112.8,112.8,112.8,0,2.8649083108105825e-13,2.8649083108105825e-13,0
1,quadrature,0.00080938832735208432,0.00071945629097963041,49.999999996058186,114.00000000000001,122.79999999921162,105.20000000078838,0.39999999999999147,0.39999999999960673,3.84747789183848e-13,0
2,quadrature,0.00080938832735208432,0.00080938832735208432,99.999999992116372,114.39999999999999,126.94213562317348,101.85786437682651,1.4210854715202004e-14,6.3948846223450507e-14,4.9737991508248503e-14,0
3,quadrature,0.00071945629097963041,0.00080938832735208432,49.999999996058186,113.19999999999999,122.8,103.59999999999999,1.2000000000000171,1.2000000000003492,3.3217872896784684e-13,0
4,quadrature,0.00089932036372453812,0.00071945629097963041,24.999999998029093,115.2,115.2,115.2,0,6.139089237451248e-14,6.139089237451248e-14,0
5,quadrature,0.00089932036372453812,0.00080938832735208432,49.999999996058186,115.59999999999999,125.2,106,-1.1999999999999886,-1.200000000000037,4.8405723873656825e-14,0
6,quadrature,0.00080938832735208432,0.00089932036372453812,49.999999996058186,114.8,123.59999999921162,106.00000000078838,-0.39999999999999147,-0.39999999999988012,1.113553693699032e-13,0
7,quadrature,0.00071945629097963041,0.00089932036372453812,24.999999998029093,113.59999999999999,113.59999999999999,113.59999999999999,0,-3.5391686092296338e-13,3.5391686092296338e-13,0
8,quadrature,0.00089932036372453812,0.00089932036372453812,24.999999998029093,116,116,116,0,-1.0004441720290924e-13,1.0004441720290924e-13,0
9,boundary_diagnostic,0.00071945629097963041,0.00071945629097963041,24.999999998029093,112.8,112.8,112.8,0,5.593392416344471e-13,5.593392416344471e-13,0
10,boundary_diagnostic,0.00089932036372453812,0.00071945629097963041,24.999999998029093,115.2,115.2,115.2,0,1.455191522951407e-13,1.455191522951407e-13,0
11,boundary_diagnostic,0.00089932036372453812,0.00089932036372453812,24.999999998029093,116,116,116,0,-4.2746250986697583e-13,4.2746250986697583e-13,0
12,boundary_diagnostic,0.00071945629097963041,0.00089932036372453812,24.999999998029093,113.59999999999999,113.59999999999999,113.59999999999999,0,1.1368683773057868e-13,1.1368683773057868e-13,0
