target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,121.49297517271243,25.094334209552887,29.976926885267105,0,0,0,0,-1.2135929813671751e-13,1.2135929813671751e-13,0
1,quadrature,121.49307440173557,25.094334209552887,59.953853770534209,0,17.307186806785808,-17.307186806785808,0,4.7513214103311319e-14,4.7513214103311319e-14,0
2,quadrature,121.49307440173557,25.094442127996533,119.90770754106842,0,27.046972384354458,-27.046972384354458,0,-1.1538091383764946e-13,1.1538091383764946e-13,0
3,quadrature,121.49297517271243,25.094442127996533,59.953853770534209,0,20.784609690707498,-20.784609690707498,0,-1.5397206240845743e-13,1.5397206240845743e-13,0
4,quadrature,121.49317363075872,25.094334209552887,59.953853770534209,0,17.307186806785808,-17.307186806785808,0,2.1067698699309979e-13,2.1067698699309979e-13,0
5,quadrature,121.49317363075872,25.094442127996533,119.90770754106842,0,27.046972384354458,-27.046972384354458,0,-3.688185909008362e-14,3.688185909008362e-14,0
6,quadrature,121.49327285978185,25.094334209552887,29.976926885267105,0,0,0,0,-9.8604429736082976e-14,9.8604429736082976e-14,0
7,quadrature,121.49327285978185,25.094442127996533,59.953853770534209,0,20.784609690707498,-20.784609690707498,0,2.7767531819295571e-13,2.7767531819295571e-13,0
8,quadrature,121.49307440173557,25.09455004644018,59.953853770534209,0,17.307186806785808,-17.307186806785808,0,-1.3390662954645907e-13,1.3390662954645907e-13,0
9,quadrature,121.49297517271243,25.09455004644018,29.976926885267105,0,0,0,0,-1.5928407880444172e-13,1.5928407880444172e-13,0
10,quadrature,121.49317363075872,25.09455004644018,59.953853770534209,0,17.307186806785808,-17.307186806785808,0,6.5902947880519608e-14,6.5902947880519608e-14,0
11,quadrature,121.49327285978185,25.09455004644018,29.976926885267105,0,0,0,0,8.3434517468993287e-14,8.3434517468993287e-14,0
12,boundary_diagnostic,121.49297517271243,25.094334209552887,29.976926885267105,0,0,0,0,3.109832014753386e-13,3.109832014753386e-13,0
13,boundary_diagnostic,121.49327285978185,25.094334209552887,29.976926885267105,0,0,0,0,-9.8604429736082976e-14,9.8604429736082976e-14,0
14,boundary_diagnostic,121.49327285978185,25.09455004644018,29.976926885267105,0,0,0,0,1.2135929813671751e-13,1.2135929813671751e-13,0
15,boundary_diagnostic,121.49297517271243,25.09455004644018,29.976926885267105,0,0,0,0,-2.3513364013989019e-13,2.3513364013989019e-13,0
