sample,lon,lat,independent_distance_m,returned_distance_m,plain_ground_m,plain_base_m,plain_plane_m,plain_difference_m,decoded_difference_m,plain_height_m,he_height_m,abs_error_m,near_zero
0,0.00071945629097963041,0.00071945629097963041,0,0,100,100,100,0,-5.609637086624784e-13,0,0,0,1
1,0.00080938832735917424,0.00071945629097963041,10.000000000000002,10.000000000000002,100,100,100,0,-1.1031175571380294e-13,0,0,0,1
2,0.00089932036373871808,0.00071945629097963041,20.000000000000004,20.000000000000004,100,100,100,0,3.6339625999200526e-13,0,3.6339625999200526e-13,3.6339625999200526e-13,1
3,0.0009892524001182618,0.00071945629097963041,29.999999999999993,29.999999999999993,100,100,100,0,-1.5257279136860772e-13,0,0,0,1
4,0.0010791844364978057,0.00071945629097963041,40.000000000000007,40.000000000000007,100,100,100,0,5.7896489212443377e-14,0,5.7896489212443377e-14,5.7896489212443377e-14,1
5,0.0011691164728773497,0.00071945629097963041,50.000000000000021,50.000000000000021,100,100,100,0,-1.2206856805708862e-13,0,0,0,1
6,0.0012590485092568934,0.00071945629097963041,60.000000000000014,60.000000000000007,100,100,100,0,-1.0628203644187586e-13,0,0,0,1
7,0.0013489805456364371,0.00071945629097963041,70,70,100,100,100,0,1.0619463717995766e-13,0,1.0619463717995766e-13,1.0619463717995766e-13,1
8,0.0014389125820159811,0.00071945629097963041,80.000000000000014,80.000000000000014,100,100,100,0,-4.17976351746024e-13,0,0,0,1
9,0.0015288446183955248,0.00071945629097963041,90,90,100,100,100,0,-1.124180053534159e-13,0,0,0,1
